File: twitter, targets: (names_male, names_female), attributes: (art, science), Effect size: -0.64.
File: twitter, targets: (names_male, names_female), attributes: (career, family), Effect size: 1.26.
File: twitter, targets: (names_male, names_female), attributes: (insects, flowers), Effect size: 1.80.
File: twitter, targets: (names_male, names_female), attributes: (pleasant, unpleasant), Effect size: -1.17.
File: twitter, targets: (names_male, names_female), attributes: (positive-words, negative-words), Effect size: -0.58.
File: twitter, targets: (gender_m, gender_f), attributes: (art, science), Effect size: 0.94.
File: twitter, targets: (gender_m, gender_f), attributes: (career, family), Effect size: 0.53.
File: twitter, targets: (gender_m, gender_f), attributes: (insects, flowers), Effect size: 0.77.
File: twitter, targets: (gender_m, gender_f), attributes: (pleasant, unpleasant), Effect size: -0.09.
File: twitter, targets: (gender_m, gender_f), attributes: (positive-words, negative-words), Effect size: -0.13.
File: twitter, targets: (names_africa, names_europe), attributes: (art, science), Effect size: -0.66.
File: twitter, targets: (names_africa, names_europe), attributes: (career, family), Effect size: 0.64.
File: twitter, targets: (names_africa, names_europe), attributes: (insects, flowers), Effect size: -0.35.
File: twitter, targets: (names_africa, names_europe), attributes: (pleasant, unpleasant), Effect size: -1.11.
File: twitter, targets: (names_africa, names_europe), attributes: (positive-words, negative-words), Effect size: -1.25.
File: wikipedia, targets: (names_male, names_female), attributes: (art, science), Effect size: -0.92.
File: wikipedia, targets: (names_male, names_female), attributes: (career, family), Effect size: 1.77.
File: wikipedia, targets: (names_male, names_female), attributes: (insects, flowers), Effect size: 1.81.
File: wikipedia, targets: (names_male, names_female), attributes: (pleasant, unpleasant), Effect size: -0.48.
File: wikipedia, targets: (names_male, names_female), attributes: (positive-words, negative-words), Effect size: -0.16.
File: wikipedia, targets: (gender_m, gender_f), attributes: (art, science), Effect size: -0.97.
File: wikipedia, targets: (gender_m, gender_f), attributes: (career, family), Effect size: 0.83.
File: wikipedia, targets: (gender_m, gender_f), attributes: (insects, flowers), Effect size: 1.09.
File: wikipedia, targets: (gender_m, gender_f), attributes: (pleasant, unpleasant), Effect size: 0.06.
File: wikipedia, targets: (gender_m, gender_f), attributes: (positive-words, negative-words), Effect size: 0.32.
File: wikipedia, targets: (names_africa, names_europe), attributes: (art, science), Effect size: -0.78.
File: wikipedia, targets: (names_africa, names_europe), attributes: (career, family), Effect size: -0.08.
File: wikipedia, targets: (names_africa, names_europe), attributes: (insects, flowers), Effect size: -0.33.
File: wikipedia, targets: (names_africa, names_europe), attributes: (pleasant, unpleasant), Effect size: -1.14.
File: wikipedia, targets: (names_africa, names_europe), attributes: (positive-words, negative-words), Effect size: -1.40.
--
File: twitter, targets: (names_male, names_female), attributes: (computers_and_maths, medical), Effect size: 1.50.
File: twitter, targets: (gender_m, gender_f), attributes: (computers_and_maths, medical), Effect size: 0.52.
File: wikipedia, targets: (names_male, names_female), attributes: (computers_and_maths, medical), Effect size: 1.85.
File: wikipedia, targets: (gender_m, gender_f), attributes: (computers_and_maths, medical), Effect size: 0.74.
